episode,model,popup_triggered,step_at_popup,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,range2d_last_m
0,FineTune,1,721,True,False,False,914.7762168620991,3415,1.24617215468129,2695,0.008626243522586407,1496.1064649143657
1,FineTune,1,855,False,False,False,-241.18969377955952,3999,1.0703455477584958,3145,0.007259018258544846,2264.8406669629335
2,FineTune,1,278,True,False,False,965.9424404214064,2315,1.4531075288391944,1907,0.015104472896420872,1488.80247592135
3,FineTune,1,826,True,False,False,928.4114033959428,3757,1.2983149206742863,2932,0.009071635658864867,1479.0435218692237
4,FineTune,1,1167,True,False,False,939.0358551454655,3945,1.240591106582808,2779,0.009153798560262971,1486.2674863735813
5,FineTune,1,332,True,False,False,993.282152817096,3093,1.5285527903049831,1870,0.011740244971400013,1488.3347953575
6,FineTune,1,914,True,False,False,914.914534187966,3582,1.075586695685669,2669,0.008394094186364307,1488.2396143294966
7,FineTune,1,329,True,False,False,897.1926158065717,3394,1.2518748713752632,3066,0.009365068261005926,1487.1317885362264
8,FineTune,1,693,True,False,False,899.2661730945672,3473,1.2374107737801214,2781,0.008584437276649558,1498.0224349364344
9,FineTune,1,461,False,False,True,-570.7927455360663,3526,1.4945418152774945,3066,0.009637484293561654,405.15706108181865
10,FineTune,1,598,False,False,True,-512.9679648477381,2520,1.4574803623188646,1923,0.014803626864892819,1035.9036791718456
11,FineTune,1,350,False,True,False,-526.6970696147392,1247,0.9997593761741927,898,0.009164986245122091,25412.538678803016
12,FineTune,1,1184,False,False,False,-173.90196839870393,3999,1.3421338975201471,2816,0.008634444140475636,3357.9342499618574
13,FineTune,1,298,False,False,True,-550.5599405854867,2468,1.2309663912915458,2171,0.013356081090240966,1641.516686022296
14,FineTune,1,1023,False,False,False,-177.70665554818007,3999,1.2422721527051228,2977,0.008958767584246134,874.5343989661636
15,FineTune,1,790,True,False,False,926.0929321516645,3961,1.2817040662774455,3172,0.008804038860144877,1490.8688460042013
16,FineTune,1,351,True,False,False,882.1943207896852,3256,1.2101170201407403,2906,0.008857059136715778,1481.3663862636884
17,FineTune,1,701,True,False,False,954.9713267284715,3297,1.193920700604727,2596,0.011242325491789454,1485.7571540605973
18,FineTune,1,776,True,False,False,911.5793445673085,3482,1.224808629176364,2707,0.009036282659241118,1485.633791489678
19,FineTune,1,366,True,False,False,941.0791225727559,3546,1.4428514675414499,2847,0.009915814869022075,1498.1509978272748
20,FineTune,1,351,True,False,False,900.9839375010916,3075,1.2028338093629742,2725,0.009352063684596887,1481.0059167273541
21,FineTune,1,648,True,False,False,890.2748364369663,3517,1.1912127028617672,2870,0.008568111006083595,1491.4936343672089
22,FineTune,1,766,True,False,False,907.5792870915603,3725,1.2965780738821595,2960,0.008854722718712718,1492.5514453643318
23,FineTune,1,1021,False,True,False,-536.3666380626679,2508,0.9995086136431165,1488,0.007868327802206794,13898.309221568545
24,FineTune,1,1455,False,False,False,-179.83875384037816,3999,1.1414594264642695,2545,0.007885251722700467,7571.52136315144
25,FineTune,1,865,True,False,False,958.0981928152906,3238,1.2746567630008971,2298,0.011216627524183538,1485.9322253043767
26,FineTune,1,193,True,False,False,885.8530037642662,3199,1.330562134191576,3007,0.009216490762181881,1493.2084210953687
27,FineTune,1,857,False,False,False,-222.11208757251023,3999,1.1180992500041635,3143,0.008210962900717168,237.94098218951302
28,FineTune,1,928,True,False,False,934.4108752259231,3954,1.3768005871727913,3027,0.009132121802693944,1494.4967580484567
29,FineTune,1,472,True,False,False,969.836957327652,2283,1.5311387277864488,1812,0.015052083491985552,1493.3198188921094
30,FineTune,1,84,True,False,False,873.0311514506843,3054,1.1700585998170538,2971,0.00947600968940699,1488.3176780916256
31,FineTune,1,899,False,False,True,-611.8878235777308,3531,1.020528233317357,2633,0.00809670167791643,2457.057213834201
32,FineTune,1,277,True,False,False,945.1052939652955,3032,1.1924398822854578,2482,0.011326559338857994,1484.2809165096182
33,FineTune,1,399,False,False,True,-518.9988190506983,2539,1.4918838927559714,1777,0.012840387053834152,7002.673364173006
34,FineTune,1,716,False,False,False,-189.42521701589217,3999,1.3472535513798236,3284,0.007864461179752454,3431.874020326713
35,FineTune,1,681,False,False,True,-609.6503724175025,3857,1.2272298951424376,3177,0.008344726821150832,2564.194626472019
36,FineTune,1,989,True,False,False,923.6637707521586,3733,1.0883609415175681,2745,0.0088181534109462,1485.4167556335403
37,FineTune,1,694,True,False,False,894.8623475685441,3481,1.1886782066075863,2788,0.008597287186692467,1488.0568153025272
38,FineTune,1,744,True,False,False,896.3270418644316,3869,1.2468496396109479,3126,0.008098160701260923,1494.488096304669
39,FineTune,1,55,False,False,True,-637.8145510909803,3336,1.1470317684967115,3282,0.008887761436283058,1440.7994755679579
40,FineTune,1,1001,True,False,False,929.3710435258923,3821,1.2986119160211176,2821,0.008918263602684995,1487.4704947652358
41,FineTune,1,692,True,False,False,908.4852972522526,3652,1.3338853154541122,2961,0.008679876820636685,1487.147327811105
42,FineTune,1,100,False,True,False,-559.8022043370541,1340,0.9997662366355871,1241,0.009281305009926698,20136.860633045988
43,FineTune,1,879,True,False,False,925.7054976975555,3674,1.3411468583431372,2796,0.008951331949830723,1479.4473118092312
44,FineTune,1,795,False,False,True,-497.43753669885115,2941,1.546762773567147,2120,0.01292700692727428,908.6809609349438
45,FineTune,1,329,False,False,True,-524.7326368423351,3070,1.5311612664849363,1883,0.011809839043899567,1481.6305582200623
46,FineTune,1,730,True,False,False,945.9745982308887,3786,1.2680523367093772,2911,0.00950783465940098,1488.158164667887
47,FineTune,1,125,True,False,False,870.4156100121456,3165,1.2474911773269453,3041,0.009400264015106415,1488.695988028255
48,FineTune,1,788,False,False,True,-582.9232716215,3894,1.2815143250873147,3107,0.009010569300558269,923.422979403067
49,FineTune,1,781,False,False,False,-199.55857984538954,3999,1.231856701441969,2875,0.007861465452956873,6354.394435057954
