episode,model,config,r_horiz_km,r_vert_km,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,range2d_last_m
0,FT_Return,Base (100%),10.0,5.0,False,False,False,-184.37916603312163,3999,1.6234724699068601,3999,0.007411475475951186,1316.237666218237
1,FT_Return,Base (100%),10.0,5.0,False,False,False,-188.0060479550752,3999,1.5654042272614888,3999,0.007360712525671649,1858.1652927229222
2,FT_Return,Base (100%),10.0,5.0,False,False,False,-260.7052723607647,3999,1.1421469963159663,3999,0.007026617291729991,8356.214681507412
3,FT_Return,Base (100%),10.0,5.0,False,False,False,-146.4354965693979,3999,1.8096179778617407,3796,0.008592138491220985,1201.2168658318544
4,FT_Return,Base (100%),10.0,5.0,False,False,True,-492.9059876467917,462,3.731884442157554,128,0.005433518410108911,35087.71730114059
5,FT_Return,Base (100%),10.0,5.0,False,False,False,-202.47092743949128,3999,1.2288191559075294,3414,0.009322759496485838,519.1972654506008
6,FT_Return,Base (100%),10.0,5.0,False,False,False,-165.47588155037295,3999,1.6091270561285325,3999,0.007691683148956504,796.844077209303
7,FT_Return,Base (100%),10.0,5.0,False,False,True,-564.7792730424966,2939,1.359809200266452,2939,0.010839362680274033,1415.2865490650393
8,FT_Return,Base (100%),10.0,5.0,False,False,False,-201.95146111384622,3999,1.9867228528810892,3999,0.007582263496123987,990.3013757405731
9,FT_Return,Base (100%),10.0,5.0,False,False,False,-187.54045087298226,3999,1.5331683499742297,3999,0.003667621998834649,19720.106306840455
10,FT_Return,Base (100%),10.0,5.0,False,False,False,-180.4425127753466,3999,1.55856666767415,3281,0.009177735761477611,1639.2780685526775
11,FT_Return,Base (100%),10.0,5.0,False,False,False,-246.17827640559733,3999,1.469911281677105,3264,0.0032888411411678394,23689.200802940097
12,FT_Return,Base (100%),10.0,5.0,False,False,True,-486.35445675701,1154,2.044602879985014,885,0.005913027623246969,31063.442490497077
13,FT_Return,Base (100%),10.0,5.0,False,False,False,-204.74993643246955,3999,1.6850599242377777,3366,0.008182476253135593,1882.602280447585
14,FT_Return,Base (100%),10.0,5.0,False,False,False,-122.62017935014485,3999,1.5622097792963348,3847,0.008592922451604486,2337.5490844000665
15,FT_Return,Base (100%),10.0,5.0,False,False,False,-195.6915191006252,3999,1.5178885715706536,3999,0.0036582835539979023,21734.19083860056
16,FT_Return,Base (100%),10.0,5.0,False,False,False,-228.56510918322834,3999,1.420565043846453,3942,0.007358225260965129,894.4081168105288
17,FT_Return,Base (100%),10.0,5.0,False,False,True,-559.0309946921843,1887,1.7922725154152312,1887,0.002783619448591266,33299.01440099879
18,FT_Return,Base (100%),10.0,5.0,False,False,False,-169.12456261971118,3999,1.5068277318270311,3999,0.00794810921769725,1165.4812493958084
19,FT_Return,Base (100%),10.0,5.0,False,False,False,-202.38069293441225,3999,1.2929601522248508,3240,0.008866802421331681,1201.287640474093
20,FT_Return,Base (100%),10.0,5.0,False,False,False,-197.96558311579028,3999,1.8866962774493863,3941,0.007312337376289023,996.5645790829914
21,FT_Return,Base (100%),10.0,5.0,False,False,False,-202.32481803758984,3999,1.8887270817117419,3999,0.007611273613208226,1188.0568635435957
22,FT_Return,Base (100%),10.0,5.0,False,False,False,-168.11457880316811,3999,1.4912825957399587,3873,0.008361148518973169,1040.1606451955658
23,FT_Return,Base (100%),10.0,5.0,False,False,False,-175.91749300818947,3999,1.4750213098159837,3906,0.00810598845033087,1216.2275366299912
24,FT_Return,Base (100%),10.0,5.0,False,False,True,-490.15295679263966,549,4.033626333406809,0,0.005986090467252224,35818.2793357092
25,FT_Return,Base (100%),10.0,5.0,False,False,False,-168.29870420041348,3999,1.5199388066108548,3481,0.009328018285484565,502.6270249577877
26,FT_Return,Base (100%),10.0,5.0,False,False,False,-198.25139225045854,3999,1.596351191535101,3999,0.0034028135876688964,17368.910832227248
27,FT_Return,Base (100%),10.0,5.0,False,False,False,-179.939696632326,3999,2.008637672132111,3999,0.007959722162278977,1242.6526952036807
28,FT_Return,Base (100%),10.0,5.0,False,False,False,-140.86820343428536,3999,2.27122407193771,3934,0.00683872460427768,10254.846673393964
29,FT_Return,Base (100%),10.0,5.0,False,False,True,-507.02326567260343,995,1.6584245386223184,995,0.004675956490387708,31204.649723159415
30,FT_Return,Base (100%),10.0,5.0,False,False,True,-587.6902749515413,1158,1.7591698680304906,1158,-0.0030897393922529577,34005.9694857694
31,FT_Return,Base (100%),10.0,5.0,False,False,False,-196.7542862749978,3999,1.7893906705047993,3999,0.007510615338975231,1011.5600979951688
32,FT_Return,Base (100%),10.0,5.0,False,False,False,-202.33214069927052,3999,1.6349056191406375,3999,0.0046925835787399355,17060.767100546196
33,FT_Return,Base (100%),10.0,5.0,False,False,False,-187.22205974318,3999,1.4683562150669032,3999,0.0023646353764037245,30148.239223619436
34,FT_Return,Base (100%),10.0,5.0,False,False,False,-152.214577878807,3999,1.532532682432565,3702,0.008662676699292127,239.81015768764922
35,FT_Return,Base (100%),10.0,5.0,False,False,False,-183.92159214834845,3999,1.8548766604676978,3999,0.0031474073396443743,22163.324024413007
36,FT_Return,Base (100%),10.0,5.0,False,False,False,-153.52908582109237,3999,1.4995140652093069,3896,0.008337296474257218,1062.7348381408717
37,FT_Return,Base (100%),10.0,5.0,False,False,False,-205.7106619927141,3999,1.965226945498151,3999,0.007601952123229906,1015.0069713826152
38,FT_Return,Base (100%),10.0,5.0,False,False,False,-161.80398922912178,3999,1.8353828316463754,3999,0.007909231751920215,1197.2540735544164
39,FT_Return,Base (100%),10.0,5.0,False,False,False,-224.6788146889994,3999,1.3256921432506639,2687,0.0076445691814789425,519.7394702740079
40,FT_Return,Base (100%),10.0,5.0,False,False,False,-137.8388271790387,3999,1.9791956219840223,3825,0.008711132674207207,728.3361564700975
41,FT_Return,Base (100%),10.0,5.0,False,False,False,-197.43064078544433,3999,1.8879095485146733,3842,0.007939721627653488,1435.1106877898362
42,FT_Return,Base (100%),10.0,5.0,False,False,False,-210.02425995921163,3999,1.54242362899429,3999,0.003288429735318683,19423.378834808387
43,FT_Return,Base (100%),10.0,5.0,False,False,True,-500.5376687651276,968,2.0224854346438894,968,0.00502684513734236,29500.65480254002
44,FT_Return,Base (100%),10.0,5.0,False,False,True,-519.7570615451895,1312,1.879078378859545,1312,0.003831987105804731,33899.44125123267
45,FT_Return,Base (100%),10.0,5.0,False,False,True,-613.132244172408,1873,1.2447869339881787,1873,0.0003522319993442773,37078.105888219834
46,FT_Return,Base (100%),10.0,5.0,False,False,True,-583.7181732526092,1930,1.5817479919933357,1930,0.0011838323890399276,35200.0236743129
47,FT_Return,Base (100%),10.0,5.0,False,False,False,-194.61082639744518,3999,1.619992179764341,3999,0.0035170370836334172,17175.90029838992
48,FT_Return,Base (100%),10.0,5.0,False,False,True,-578.888197727667,1731,1.4752037975349876,1731,0.002025999781829547,32503.574213429867
49,FT_Return,Base (100%),10.0,5.0,False,True,False,-553.6264385485127,1530,0.998908511941937,1530,0.005237584641835793,29778.890279423747
0,FT_Return,Scale 120%,12.0,6.0,False,False,False,-329.0264648490236,3999,1.0541882504600235,3999,0.007153087471199012,2349.5312972221686
1,FT_Return,Scale 120%,12.0,6.0,False,False,False,-309.09558737024213,3999,1.587439186146332,3999,0.007681249758774694,576.3368975438066
2,FT_Return,Scale 120%,12.0,6.0,False,False,True,-556.4224124359052,865,1.6647180356533482,865,0.0012328062118006056,35389.27985792816
3,FT_Return,Scale 120%,12.0,6.0,False,False,False,-337.9292140321635,3999,1.0201069673624497,3999,0.004963986572080984,15710.196390472516
4,FT_Return,Scale 120%,12.0,6.0,False,False,False,-220.48106629939332,3999,1.4288606751932,3999,0.009192653626569092,836.5809539611472
5,FT_Return,Scale 120%,12.0,6.0,False,False,True,-606.3203338310916,1429,1.708684319602468,1429,-0.0007136268007069731,38820.685190107986
6,FT_Return,Scale 120%,12.0,6.0,False,False,False,-260.3770446942624,3999,1.3415100226928445,3999,0.0029742527258021134,19661.8483394037
7,FT_Return,Scale 120%,12.0,6.0,False,False,True,-543.51164994834,585,1.2434717089680893,585,0.002349178874111499,31897.903825035144
8,FT_Return,Scale 120%,12.0,6.0,False,False,False,-327.7532711288047,3999,1.1214386624821404,3999,0.007653595995586289,705.042710390602
9,FT_Return,Scale 120%,12.0,6.0,False,False,False,-291.3296447253759,3999,1.0729566658969052,3999,0.00808995638276981,2035.1911054837024
10,FT_Return,Scale 120%,12.0,6.0,False,True,False,-580.1632231711394,1719,0.9996331564389438,1719,0.006237357763926234,27619.025382512627
11,FT_Return,Scale 120%,12.0,6.0,False,False,False,-272.22472116251515,3999,1.420103275976907,3986,0.008420307748616686,3168.465839751886
12,FT_Return,Scale 120%,12.0,6.0,False,False,True,-522.5065977794759,1281,2.016265539542928,1281,0.0035104762037325137,33390.1563507428
13,FT_Return,Scale 120%,12.0,6.0,False,False,True,-542.6479911983007,583,1.1885856842162195,583,0.002990373952101342,32860.93680266172
14,FT_Return,Scale 120%,12.0,6.0,False,False,True,-555.640407307856,2024,1.9472204923452534,2024,0.0025062037923899707,31628.08949256906
15,FT_Return,Scale 120%,12.0,6.0,False,False,False,-257.7757421717148,3999,1.1409201855215603,3999,0.008811080897415212,1128.1542622745585
16,FT_Return,Scale 120%,12.0,6.0,False,False,True,-586.2704467814909,979,1.5336854119586794,979,-0.0010718151034028998,31369.25792164168
17,FT_Return,Scale 120%,12.0,6.0,False,False,True,-527.597122957288,669,1.7308959315522803,669,0.0029650128307527157,36568.11071671686
18,FT_Return,Scale 120%,12.0,6.0,False,False,False,-252.47942918699215,3999,1.3827013226093685,3999,0.00321933593021998,20075.845626017413
19,FT_Return,Scale 120%,12.0,6.0,False,False,False,-254.42691122660145,3999,1.179490407037283,3762,0.009095482469071582,286.7961295622029
20,FT_Return,Scale 120%,12.0,6.0,False,False,False,-264.9021933001728,3999,1.2995853364084042,3999,0.0030042673950298926,18224.536434138325
21,FT_Return,Scale 120%,12.0,6.0,False,False,False,-319.79344421279467,3999,1.1791840099089717,3999,0.007692218728965438,864.3573456304975
22,FT_Return,Scale 120%,12.0,6.0,False,False,False,-266.36105345818504,3999,1.1823216892604433,3999,0.00857868244153839,170.24248885721929
23,FT_Return,Scale 120%,12.0,6.0,False,False,False,-248.33796161654885,3999,1.5685594725843286,3999,0.0029629759170770923,21783.13465711186
24,FT_Return,Scale 120%,12.0,6.0,False,False,True,-505.75063871649473,1104,2.1751044396357138,1104,0.0052273352944731365,33333.664837132295
25,FT_Return,Scale 120%,12.0,6.0,False,False,True,-570.8433133889115,1270,1.3034238402221623,1270,0.003372117962497026,33522.7823362393
26,FT_Return,Scale 120%,12.0,6.0,False,False,False,-348.3656769737687,3999,1.3869466001273065,3999,0.001963648510146414,23124.131977239525
27,FT_Return,Scale 120%,12.0,6.0,False,False,False,-299.36148056881734,3999,1.3858595380787277,3999,0.008145245224101816,500.7459709741915
28,FT_Return,Scale 120%,12.0,6.0,False,False,True,-515.9400333714858,926,1.7341485010083593,926,0.0044477376798872864,33484.30127432476
29,FT_Return,Scale 120%,12.0,6.0,False,False,True,-542.8157799823259,856,1.833431889005106,856,0.0016906943887671293,34409.99203431035
30,FT_Return,Scale 120%,12.0,6.0,False,False,True,-597.8136791309961,969,1.3218130196085065,969,-0.0016263588866599825,32003.993030714002
31,FT_Return,Scale 120%,12.0,6.0,False,False,False,-324.33881793914304,3999,1.552957767504883,3999,0.007465125336939448,1193.4746161363096
32,FT_Return,Scale 120%,12.0,6.0,False,False,False,-266.7076115617209,3999,1.123041606328928,3826,0.008574105524505831,1538.560839428491
33,FT_Return,Scale 120%,12.0,6.0,False,False,True,-565.094053106547,1188,1.8671278933801945,1188,0.0016296623555412345,37668.377215474946
34,FT_Return,Scale 120%,12.0,6.0,False,False,False,-248.41130019423213,3999,1.6868701251885625,3999,0.007594412474206969,4511.798793803041
35,FT_Return,Scale 120%,12.0,6.0,False,False,False,-277.38617222653136,3999,1.096375145403245,3999,0.008468481510343977,884.3484157853266
36,FT_Return,Scale 120%,12.0,6.0,False,False,False,-248.54382693221345,3999,1.3176105645619098,3999,0.00841346045670287,758.1550723408586
37,FT_Return,Scale 120%,12.0,6.0,False,False,False,-330.82478780752797,3999,1.1157326943188708,3999,0.0076478311076461445,831.5369127021726
38,FT_Return,Scale 120%,12.0,6.0,False,False,False,-291.9037673268461,3999,1.1972252935653005,3999,0.00803037685774035,712.7947953796347
39,FT_Return,Scale 120%,12.0,6.0,False,True,False,-728.8327799383005,2932,0.9988669840544416,2932,0.000766260785939043,28843.69500263505
40,FT_Return,Scale 120%,12.0,6.0,False,False,False,-241.70191800209898,3999,1.1519258168634472,3999,0.008641717701219166,1005.9266334490992
41,FT_Return,Scale 120%,12.0,6.0,False,True,False,-563.4441331342498,1386,0.999459389034014,1386,0.008043300555417581,22038.042906967486
42,FT_Return,Scale 120%,12.0,6.0,True,False,False,856.3838058545964,2803,1.1930706117409373,2803,0.011103104924551483,1451.8062428298228
43,FT_Return,Scale 120%,12.0,6.0,False,False,True,-690.2115573859795,2821,1.4852486359785382,2390,-0.001038350699347083,37295.828218345574
44,FT_Return,Scale 120%,12.0,6.0,False,False,False,-255.75916733406854,3999,1.1424589825718816,3893,0.009576650226611194,629.9840778303471
45,FT_Return,Scale 120%,12.0,6.0,False,False,True,-574.2689497973654,1146,1.7240890042815997,1146,0.0010866507158172316,36492.5347026652
46,FT_Return,Scale 120%,12.0,6.0,False,False,True,-524.9060348355929,571,1.5310851022370848,571,0.003579171869828061,35441.11304748801
47,FT_Return,Scale 120%,12.0,6.0,False,False,False,-298.10395637241766,3999,1.1883259158020705,3999,0.007747262266914887,259.2297904472791
48,FT_Return,Scale 120%,12.0,6.0,False,False,True,-554.519156030299,902,1.6578238485213117,902,0.0016128164775001624,34555.81937307176
49,FT_Return,Scale 120%,12.0,6.0,False,False,True,-575.0838584069176,1150,1.1887296482042533,1150,0.003145352388520118,34175.239534634275
0,FT_Return,Scale 150%,15.0,7.5,False,True,False,-555.9794197624417,898,0.9993903900589821,898,0.006205255460040151,25382.408691430934
1,FT_Return,Scale 150%,15.0,7.5,False,False,True,-601.24303804862,1039,1.4422928099016563,1039,-0.002495440069911499,33886.41691552169
2,FT_Return,Scale 150%,15.0,7.5,False,True,False,-661.171033087609,1929,0.9997761534118514,1929,0.004135678832844411,28477.932762578825
3,FT_Return,Scale 150%,15.0,7.5,False,False,True,-546.5613780007374,658,1.2958605679068715,658,0.0025482799793038234,33884.41046584247
4,FT_Return,Scale 150%,15.0,7.5,False,False,False,-335.81435705623676,3999,1.3023288357644534,3999,0.004365518339293141,20140.294967777485
5,FT_Return,Scale 150%,15.0,7.5,False,False,True,-724.6098158179848,2389,1.1403387201230764,2389,-0.0009688880729685076,40115.58609821939
6,FT_Return,Scale 150%,15.0,7.5,False,True,False,-547.7115629975278,971,0.9993777527448636,971,0.007862860536907173,23921.047408549457
7,FT_Return,Scale 150%,15.0,7.5,False,True,False,-525.0326671127358,342,0.9990636911276651,342,0.005920006426837017,31247.531268411974
8,FT_Return,Scale 150%,15.0,7.5,False,False,False,-469.13035062796826,3999,1.0583014187972821,3999,0.0076718967973136995,631.857804282869
9,FT_Return,Scale 150%,15.0,7.5,False,False,True,-584.4226360315897,842,1.1412014253628555,842,0.00045416792460205904,34004.51728766521
10,FT_Return,Scale 150%,15.0,7.5,False,False,True,-589.0218846576627,959,1.3446701679023527,959,-8.456823465255872e-05,38422.144315733436
11,FT_Return,Scale 150%,15.0,7.5,False,False,True,-629.065511501916,1144,1.048698706163733,1144,-0.0011497764928020144,38156.620834235626
12,FT_Return,Scale 150%,15.0,7.5,False,False,True,-627.6529718539191,1710,1.19773383289542,1710,0.0007343895114061218,36631.27030321951
13,FT_Return,Scale 150%,15.0,7.5,False,False,True,-611.5664670249466,843,1.0252248715777965,843,-0.003232216880208666,37329.08364675285
14,FT_Return,Scale 150%,15.0,7.5,False,False,True,-529.5273107283833,571,1.4695829118116652,571,0.003807860487046235,34526.35763026291
15,FT_Return,Scale 150%,15.0,7.5,False,False,True,-595.2322186612071,964,1.2675285616279213,964,-3.564079524330513e-05,36398.02449765255
16,FT_Return,Scale 150%,15.0,7.5,False,True,False,-539.4959748772906,498,0.9998314098413433,498,0.005337492899276314,27661.87947157046
17,FT_Return,Scale 150%,15.0,7.5,False,False,True,-581.8202154165375,878,1.4159318061112638,878,-0.0006854467510057815,39153.52654787342
18,FT_Return,Scale 150%,15.0,7.5,False,False,True,-665.4612084330697,1665,1.1574406254178844,1665,-0.00028405511357595297,33422.92177507108
19,FT_Return,Scale 150%,15.0,7.5,False,False,True,-599.8808839821951,950,1.1781137790180376,950,-0.0005378194889681271,37170.55903789922
20,FT_Return,Scale 150%,15.0,7.5,True,False,False,686.7519167941177,3476,1.051574348131439,3476,0.008270405927937697,1490.6707413513298
21,FT_Return,Scale 150%,15.0,7.5,True,False,False,709.75096421437,3240,1.1038770970130092,3240,0.009630003746270516,424.3279048468084
22,FT_Return,Scale 150%,15.0,7.5,False,True,False,-557.9402826945892,979,0.9996854297720317,979,0.007759821822180633,26879.528008654368
23,FT_Return,Scale 150%,15.0,7.5,False,True,False,-607.3965690344273,1766,0.9991854183087898,1766,0.0058100688029040035,23371.493843574484
24,FT_Return,Scale 150%,15.0,7.5,False,False,True,-603.9708139055825,1892,1.5713088559018233,1892,0.0021160603877441067,35101.05674861865
25,FT_Return,Scale 150%,15.0,7.5,False,False,True,-608.4097462652596,1183,1.2867082158127985,1183,0.0009156808164819756,36722.12174271247
26,FT_Return,Scale 150%,15.0,7.5,False,True,False,-500.0,1,0.9904444418187283,1,0.011075119191416889,30965.68725012366
27,FT_Return,Scale 150%,15.0,7.5,False,False,False,-455.5198506007286,3999,1.1239124524580937,3999,0.007950657582007872,1278.9019517076708
28,FT_Return,Scale 150%,15.0,7.5,False,True,False,-580.3772273740371,1385,0.9996095207186536,1385,0.006783848723696824,28207.27588358026
29,FT_Return,Scale 150%,15.0,7.5,False,False,False,-300.53397120167347,3999,1.3365631544286507,3999,0.0012319184563850095,30930.784524011367
30,FT_Return,Scale 150%,15.0,7.5,False,True,False,-500.0,1,0.9200765759203613,1,0.011184328846960852,30416.866940693606
31,FT_Return,Scale 150%,15.0,7.5,False,False,True,-600.0811640387087,1058,1.323840449292761,1058,7.44264683368837e-05,30967.767635056563
32,FT_Return,Scale 150%,15.0,7.5,False,False,True,-630.8531764068014,998,1.0118470063023457,998,-0.004581073344390001,40398.32002962836
33,FT_Return,Scale 150%,15.0,7.5,False,False,True,-593.7263653549384,977,1.2275639495325277,977,0.0007806204583665374,38841.74990603382
34,FT_Return,Scale 150%,15.0,7.5,False,True,False,-540.6664053273236,656,0.9995928429747698,656,0.00472370413076842,31783.104368372657
35,FT_Return,Scale 150%,15.0,7.5,False,False,False,-421.5360225639782,3999,1.0958841245336404,3999,0.008631770857395344,231.3543169266469
36,FT_Return,Scale 150%,15.0,7.5,False,False,False,-333.3053641119965,3999,1.4013301204237483,3999,0.00468404688526668,15672.079944514226
37,FT_Return,Scale 150%,15.0,7.5,True,False,False,628.6558943787983,3958,1.102855463876394,3958,0.0077828102627555155,610.8504921927253
38,FT_Return,Scale 150%,15.0,7.5,False,False,True,-595.0219164768607,1069,1.3719586322617798,1069,-1.0261755343629242e-06,32827.36883112949
39,FT_Return,Scale 150%,15.0,7.5,False,True,False,-500.0,1,0.8764568617594078,1,0.011067763979746814,31079.303863028534
40,FT_Return,Scale 150%,15.0,7.5,False,True,False,-575.0665291722746,1432,0.9993388785963939,1432,0.007087644729270545,25414.648468309133
41,FT_Return,Scale 150%,15.0,7.5,False,False,False,-439.6713396083284,3999,1.095915672565387,3999,0.007958890290310074,1358.4552058260786
42,FT_Return,Scale 150%,15.0,7.5,False,True,False,-500.0,1,0.9518259212210811,1,0.011055023291282851,32562.75432305652
43,FT_Return,Scale 150%,15.0,7.5,False,False,True,-707.2106114219398,2148,1.1347012340053335,2148,-0.0009058080621809763,36312.316613052084
44,FT_Return,Scale 150%,15.0,7.5,False,True,False,-658.5125955089527,2039,0.9998437746236466,2039,0.005376299440179521,27964.733775522498
45,FT_Return,Scale 150%,15.0,7.5,False,False,True,-600.9870650107295,947,1.1594755524186908,947,-0.0004816811565983446,38193.988478290434
46,FT_Return,Scale 150%,15.0,7.5,False,False,True,-602.218234551944,1052,1.262010573755308,1052,-0.0001903430778613043,37685.06110306992
47,FT_Return,Scale 150%,15.0,7.5,False,True,False,-500.0,1,0.9870325304212179,1,0.011108684670780349,31229.42291116914
48,FT_Return,Scale 150%,15.0,7.5,False,False,True,-599.0507489663319,982,1.235865774437444,982,6.275868371363563e-05,35948.95080836994
49,FT_Return,Scale 150%,15.0,7.5,False,False,True,-599.212126193557,960,1.1900696206264239,960,-0.00037555242487812636,38152.92510931537
